round_id,playerName,allIn,bet,cards,chips,folded,isHuman,isOnline,isSurvive,reloadCount,roundBet,position,me,hand,rank,message,winMoney
5,ヽ(=^･ω･^=)丿,False,0,♦7 ♠5,940,True,False,True,True,0,0,,True,♦7 ♠5 ♥2 ♣2 ♦4 ♠9 ♥10,9.0208,Pair,0.0
6,(=^-Ω-^=),False,0,♦K ♣2,2880,True,False,True,True,2,0,,False,♦K ♣2 ♥7 ♣A ♦9 ♦A ♦Q,21.16,Pair,0.0
6,FourSwordsMan,False,0,♥5 ♥3,2200,False,False,True,True,2,0,SB,False,♥5 ♥3 ♥7 ♣A ♦9 ♦A ♦Q,21.0592,Pair,160.0
6,A_P_T^T,False,0,♠K ♠6,1980,True,False,True,True,0,0,BB,False,♠K ♠6 ♥7 ♣A ♦9 ♦A ♦Q,21.16,Pair,0.0
6,ヽ(=^･ω･^=)丿,False,0,♣9 ♦6,940,True,False,True,True,0,0,,True,♣9 ♦6 ♥7 ♣A ♦9 ♦A ♦Q,95.0512,Two Pair,0.0
7,(=^-Ω-^=),False,0,♥5 ♠5,3040,False,False,True,True,2,0,,False,♥5 ♠5 ♦9 ♥Q ♦Q ♥3 ♣8,70.0064,Two Pair,280.0
7,FourSwordsMan,False,0,♦J ♠K,2200,True,False,True,True,2,0,,False,♦J ♠K ♦9 ♥Q ♦Q ♥3 ♣8,19.1344,Pair,0.0
7,A_P_T^T,False,0,♠7 ♠6,1940,True,False,True,True,0,0,SB,False,♠7 ♠6 ♦9 ♥Q ♦Q ♥3 ♣8,19.0112,Pair,0.0
7,ヽ(=^･ω･^=)丿,False,0,♦10 ♣A,820,True,False,True,True,0,0,BB,True,♦10 ♣A ♦9 ♥Q ♦Q ♥3 ♣8,19.224,Pair,0.0
8,(=^-Ω-^=),False,0,♣8 ♦10,3000,True,False,True,True,2,0,BB,False,♣8 ♦10 ♣4 ♦K ♠J ♥3 ♦2,7.0418,High Card,0.0
8,FourSwordsMan,False,0,♣K ♠5,2200,True,False,True,True,2,0,,False,♣K ♠5 ♣4 ♦K ♠J ♥3 ♦2,20.0262,Pair,0.0
8,A_P_T^T,False,0,♦7 ♦9,1900,True,False,True,True,0,0,,False,♦7 ♦9 ♣4 ♦K ♠J ♥3 ♦2,7.0338,High Card,0.0
8,ヽ(=^･ω･^=)丿,False,0,♥Q ♦J,900,False,False,True,True,0,0,SB,True,♥Q ♦J ♣4 ♦K ♠J ♥3 ♦2,18.1538,Pair,606.0
9,(=^-Ω-^=),False,0,♠6 ♥3,2620,False,False,True,True,2,0,SB,False,♠6 ♥3 ♣2 ♦5 ♣Q ♦8 ♣J,6.03,High Card,0.0
9,FourSwordsMan,False,0,♦4 ♣4,1820,False,False,True,True,2,0,BB,False,♦4 ♣4 ♣2 ♦5 ♣Q ♦8 ♣J,11.08,Pair,0.0
9,A_P_T^T,False,0,♠K ♣5,2660,False,False,True,True,0,0,,False,♠K ♣5 ♣2 ♦5 ♣Q ♦8 ♣J,12.1792,Pair,1140.0
