round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,chips_total,pot,bet,cost_on_table,cost_to_call,cost_total,maxBet_all,N_maxBet_all,prWin_adj,limitBet,util_fold,util_call,util_raise_coeff,action,amount,cputime
8,1,4,3,flop,True,♠7 ♠Q,♥Q ♥6 ♦K,145,0.3275862068965517,0.4588064613812153,2047,0,4047,40,0,40,40,80,0,4,0.13985299877494894,132.39218287959102,0,-6.4352802940122515,-0.7202940024501021,fold,0,1.2121260166168213
9,0,3,2,deal,False,♥J ♦8,,20000,0.3594624999999492,0.479842902514704,2027,0,4027,0,20,20,20,40,40,1,0.335470354874214,216.51868467501617,-20,13.547035487421404,-0.329059290251572,call,0,0.0999302864074707
9,1,3,2,flop,True,♥J ♦8,♦J ♠9 ♥Q,82,0.19512195121951217,0.38590062719693724,2007,0,4007,40,0,40,40,80,0,3,0.03660412869003002,32.44712169185267,0,-34.1433394095952,-0.9267917426199399,fold,0,1.2265880107879639
10,0,3,3,deal,False,♣4 ♥2,,20000,0.22704027777777724,0.41891883467369545,2007,0,4007,0,0,0,80,80,80,1,0.20609433604409247,121.66687878221715,0,-22.293585907654112,-0.5878113279118151,fold,0,0.10600399971008301
11,0,3,3,deal,False,♣4 ♠Q,,20000,0.3248958333332917,0.46833591664099145,1927,0,3927,0,80,80,80,160,160,1,0.3014790375012421,185.36860470573131,-80,64.70993800059622,-0.3970419249975158,call,0,0.09995007514953613
11,1,3,2,flop,True,♣4 ♠Q,♣2 ♥6 ♠2,168,0.10714285714285714,0.29450754468697576,1847,0,3847,160,0,160,80,240,0,3,0.0,-0.0,0,-80.0,-1.0,fold,0,1.2140347957611084
12,0,3,2,deal,False,♦2 ♣8,,20000,0.239602777777772,0.42684105549835244,1807,0,3807,0,40,40,40,80,80,1,0.21826072500285437,123.32915077619117,-40,3.6521450005708758,-0.5634785499942913,call,0,0.10132098197937012
12,1,3,2,deal,False,♦2 ♣8,,20000,0.239602777777772,0.42684105549835244,1767,0,3767,0,80,80,587,667,667,1,0.21826072500285437,122.03333621589496,0,-167.72114726951673,-0.5634785499942913,fold,0,0.08463907241821289
13,0,3,3,deal,False,♥3 ♠8,,20000,0.2457027777777715,0.4305031042513614,1767,0,3767,0,0,0,160,160,160,1,0.22417762256520343,125.79873822440076,0,-34.46053136348608,-0.5516447548695931,fold,0,0.10168194770812988
14,0,3,3,deal,False,♦9 ♠3,,20000,0.2589722222222067,0.43807032579198824,1607,0,3607,0,160,160,0,160,160,3,0.23706870593260732,128.4069085391694,-160,113.79297884765151,-0.5258625881347854,check,0,0.09760403633117676
14,1,3,2,flop,True,♦9 ♠3,♥9 ♠4 ♣3,129,0.7441860465116279,0.4363177450998538,1607,0,3607,160,0,160,160,320,0,3,0.5696589484716863,660.418657191574,0,295.727158777349,0.1393178969433726,raise,0,1.2099692821502686
15,0,3,2,deal,False,♦2 ♣K,,20000,0.3296805555555121,0.4700971036329845,2007,0,4007,0,80,80,80,160,160,1,0.3061757003738629,192.70143878673835,-80,42.47028014954515,-0.38764859925227424,call,0,0.10100293159484863
15,1,3,2,flop,True,♦2 ♣K,♠J ♦Q ♥8,106,0.0,0.0,1927,0,3927,160,0,160,160,320,0,3,0.0,-0.0,0,-160.0,-1.0,fold,0,1.2203638553619385
16,0,3,3,deal,False,♦2 ♠4,,20000,0.22704027777777724,0.41891883467369545,1927,0,3927,0,0,0,320,320,320,1,0.20609433604409247,119.23779210825225,0,-89.17434363061645,-0.5878113279118151,fold,0,0.10236597061157227
17,0,3,3,deal,False,♣2 ♠Q,,20000,0.3100972222221872,0.4625331717750314,1607,0,3607,0,320,320,0,320,320,3,0.28697056363343565,160.50790042493063,-320,275.49174108809825,-0.4260588727331287,check,0,0.10953283309936523
17,1,3,3,flop,True,♣2 ♠Q,♦3 ♣6 ♣7,191,0.08952879581151833,0.2739956203229197,1607,0,3607,320,0,320,320,640,0,3,0.0,-0.0,0,-320.0,-1.0,fold,0,1.215918779373169
