round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,prWin_adj,chips,reld,chips_total,pot,bet,cost_on_table,cost_to_call,cost_total,maxBet_all,N_maxBet_all,util_fold,util_call,util_raise_coeff,limitBet,action,amount,cputime
10,0,4,4,deal,False,♣5 ♣10,,20000,0.25635654761906623,0.43662096618451535,0.03804606452680856,1750,1,2750,0,40,40,509,549,549,1,-40,-441.7726039811293,-0.9239078709463828,271.8975853855072,fold,0,0.09012603759765625
11,0,4,4,deal,False,♥Q ♥K,,20000,0.3918255952381471,0.4881580667718386,0.1477465618522278,2750,2,2750,0,0,0,80,80,80,1,0,-38.483216119523995,-0.7045068762955444,456.50186422079435,fold,0,0.09190893173217773
12,0,3,2,deal,False,♣Q ♥9,,20000,0.3896527777777191,0.4876714986010835,0.14581702847717737,2670,2,2670,0,80,80,0,80,80,2,-80,23.33072455634838,-0.7083659430456453,440.0432623855123,check,0,0.09371280670166016
13,0,3,2,deal,False,♣10 ♦4,,20000,0.289129166666638,0.4533580170784382,0.062450158127418914,2750,2,2750,0,80,80,80,160,160,1,-80,-55.01993674903244,-0.8750996837451621,343.75,call,0,0.09160208702087402
14,0,3,3,deal,False,♦4 ♥4,,20000,0.3751027777777367,0.4841494437476538,0.13302805590390981,2990,2,2990,0,0,0,160,160,160,1,0,-85.50428869381051,-0.7339438881921804,469.26843001823113,fold,0,0.09866499900817871
15,0,3,2,deal,False,♠J ♠8,,20000,0.392911111111056,0.48839734835124915,0.1487124369354314,2830,2,2830,0,160,160,0,160,160,2,-160,47.587979819338045,-0.7025751261291372,471.6666666666667,check,0,0.08985114097595215
16,0,3,3,deal,False,♦10 ♠9,,20000,0.36957638888883865,0.4826900471987428,0.12823136528946724,2990,2,2990,0,160,160,160,320,320,2,-160,-16.38087087579669,-0.7435372694210656,498.3333333333333,call,0,0.09754180908203125
16,1,3,2,flop,True,♦10 ♠9,♠K ♠Q ♦9,100,0.525,0.4849828175650488,0.27531269555702276,2830,2,2830,320,0,320,320,640,0,3,0,120.50031289123643,-0.4493746088859545,703.25594937162,call,0,1.221627950668335
17,0,3,3,deal,False,♠3 ♣7,,20000,0.24388888888888186,0.42942647655382,0.02917565061197186,3790,2,3790,0,0,0,320,320,320,1,0,-287.3232713145915,-0.9416486987760563,631.6666666666666,fold,0,0.097625732421875
18,0,3,2,deal,False,♥7 ♥6,,20000,0.3443986111110783,0.475171766602182,0.10681272780998727,3470,2,3470,0,320,320,0,320,320,2,-320,68.36014579839186,-0.7863745443800254,694.0,check,0,0.0892190933227539
18,1,3,2,flop,True,♥7 ♥6,♦3 ♣5 ♥4,157,0.9076433121019108,0.26562622429415117,0.7628789085883191,3470,2,3470,320,0,320,320,640,0,3,0,656.4850029930484,0.5257578171766382,2759.2175722840343,bet,2759,1.2048208713531494
18,2,3,2,turn,True,♥7 ♥6,♦3 ♣5 ♥4 ♠10,135,0.9333333333333333,0.19999999999999998,0.8086114204408686,711,2,711,3079,0,3079,320,3399,0,3,0,5176.940436157025,0.6172228408817373,642.7222185310447,bet,642,1.2078640460968018
18,3,3,2,river,True,♥7 ♥6,♦3 ♣5 ♥4 ♠10 ♥3,207,0.8695652173913043,0.3258453211002481,0.7011746371214166,69,2,69,3721,0,3721,69,3790,0,3,0,5245.903749380338,0.4023492742428332,69.0,bet,69,1.2170741558074951
20,0,3,3,deal,False,♥9 ♣Q,,20000,0.3896527777777191,0.4876714986010835,0.14581702847717737,7650,2,7650,0,0,0,350,350,350,1,-320,-150.230670986267,-0.7083659430456453,1275.0,call,0,0.09132719039916992
21,0,3,2,deal,False,♣K ♦5,,20000,0.3576736111110591,0.4793153440333764,0.11801593909437091,6660,2,6660,0,640,640,380,1020,1020,1,-640,-94.4014273916224,-0.7639681218112582,1332.0,call,0,0.10926413536071777
22,0,3,2,deal,False,♠K ♥8,,20000,0.38721527777772025,0.48711354572957954,0.14365850491293047,5640,2,5640,0,640,640,40,680,680,1,-640,161.12190687810266,-0.712682990174139,1410.0,call,0,0.09125876426696777
23,0,3,3,deal,False,♦Q ♣6,,20000,0.3442444444443984,0.47512125495873775,0.10668381696502952,6960,2,6960,0,0,0,1280,1280,1280,1,0,-802.0564999966678,-0.786632366069941,1740.0,fold,0,0.10117697715759277
24,0,3,2,deal,False,♣A ♣7,,20000,0.4394583333332707,0.4963211728278521,0.19129774691934467,5680,2,5680,0,1280,1280,0,1280,1280,2,-1280,489.72223211352235,-0.6174045061613107,1893.3333333333333,check,0,0.09432125091552734
