round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,prWin_adj,chips,reld,stack,pot,bet,cost_to_call,pot_sum,bet_sum,maxBet_all,N_maxBet_all,bluff_freq,thd_call,bet_limit,action,amount,cputime
18,0,8,3,deal,False,♣8 ♣5,,60000,0.14124675925925928,0.3241743803345467,0.39200541732425126,1316,0,3316,0,80,80,0,440,160,2,0,0.0,220.0,check,0,0.2216799259185791
18,1,8,3,flop,True,♣8 ♣5,♦7 ♦5 ♦Q,262,0.2729007633587786,0.43643359491789147,0.329027496484079,1236,0,3236,160,0,80,520,0,0,8,0,0.13333333333333333,156.9778741535337,check,0,1.2014820575714111
18,2,8,3,flop,False,♣8 ♣5,♦7 ♦5 ♦Q,1788,0.2750745712155108,0.434401283292686,0.33134010385667173,1236,0,3236,160,0,80,520,160,80,2,0,0.10526315789473684,158.58183514475706,check,0,1.250730037689209
18,3,8,3,turn,True,♣8 ♣5,♦7 ♦5 ♦Q ♦3,282,0.0013297872340425532,0.012824003671533185,0.004266122405689952,1156,0,3156,240,0,80,760,0,0,8,0,0.09523809523809523,3.2701547895599963,fold,0,1.1812307834625244
19,0,8,3,deal,False,♥A ♣7,,60000,0.1472597222222222,0.3156663747869441,0.40169353207157754,1116,0,3116,0,40,40,0,200,80,2,0,0.0,121.72270666138733,check,0,0.23047113418579102
19,1,8,3,flop,True,♥A ♣7,♠5 ♣K ♦6,310,0.30806451612903224,0.4555388114539692,0.36716126778419067,1076,0,3076,80,0,80,240,0,0,8,0,0.25,120.0,check,0,1.1790361404418945
19,2,8,3,turn,True,♥A ♣7,♠5 ♣K ♦6 ♠6,235,0.03758865248226951,0.17294788311258713,0.053726450361783015,1076,0,3076,80,0,80,240,0,0,8,0,0.25,14.446686451931843,fold,0,1.1815710067749023
20,0,8,3,deal,False,♦6 ♥5,,60000,0.11373425925925924,0.2935096663384255,0.34105583345190643,1076,0,3076,0,0,80,0,120,80,1,0,0.4,120,fold,0,0.26822900772094727
21,0,8,4,deal,False,♣J ♥2,,60000,0.09498564814814814,0.2648557321531241,0.30432695944740995,1076,0,3076,0,0,80,0,120,80,1,0,0.4,93.31698181455432,fold,0,0.22942614555358887
22,0,8,5,deal,False,♥2 ♣7,,60000,0.07326851851851851,0.2385839096676443,0.2587991646169635,1076,0,3076,0,0,80,0,120,80,1,0,0.4,64.37767867743415,fold,0,0.23354721069335938
23,0,8,6,deal,False,♠A ♥2,,60000,0.13719166666666666,0.3093763234657551,0.3814668682249222,1076,0,3076,0,0,80,0,120,80,1,0,0.4,120,fold,0,0.23107409477233887
24,0,8,7,deal,False,♠3 ♣4,,60000,0.09257314814814813,0.26897613624966693,0.29777514726749793,1076,0,3076,0,0,80,0,120,80,1,0,0.4,88.34971861585797,fold,0,0.22453689575195312
25,0,8,8,deal,False,♣5 ♠6,,60000,0.11373425925925924,0.2935096663384255,0.33788095113078004,1076,0,3076,0,0,160,0,240,160,1,0,0.4,240,fold,0,0.2225959300994873
26,0,8,3,deal,False,♥2 ♠K,,60000,0.11444074074074075,0.2861614493264244,0.33855619413744353,916,0,2916,0,160,160,0,880,320,2,0,0.0,229.0,check,0,0.22934198379516602
26,1,8,3,flop,True,♥2 ♠K,♥10 ♦9 ♦4,346,0.14402697495183045,0.3407903380478636,0.1938856006293694,756,0,2756,320,0,160,1040,0,0,8,0,0.13333333333333333,80,fold,0,1.1825542449951172
27,0,8,3,deal,False,♥5 ♦K,,60000,0.12590231481481481,0.2973556139486041,0.3587832597958702,676,0,2676,0,80,80,0,400,160,2,0,0.0,169.0,check,0,0.21746015548706055
