round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,prWin_adj,chips,reld,chips_total,pot,bet,cost_on_table,cost_to_call,cost_total,maxBet_all,N_maxBet_all,util_fold,util_call,util_raise_coeff,limitBet,action,amount,cputime
25,0,5,3,deal,False,♦10 ♥8,,20000,0.2234154761904891,0.4165345138029574,0.01514821928901039,2070,2,2070,0,320,320,1750,2070,2070,2,-320,-1629.4201744594773,-0.9697035614219792,517.5,fold,0,0.09982967376708984
26,0,5,4,deal,False,♦Q ♦2,,20000,0.2113166666666749,0.4082424929567723,0.007195420188288754,1750,2,1750,0,320,320,479,799,799,1,-320,-461.24889839549166,-0.9856091596234224,583.3333333333334,fold,0,0.09652423858642578
27,0,5,5,deal,False,♦K ♠5,,20000,0.205695634920645,0.40420903094220656,0.003591119449541713,1750,2,1750,0,0,0,1280,1280,1280,1,0,-1262.7590355227503,-0.9928177611009166,583.3333333333334,fold,0,0.09851908683776855
28,0,4,4,deal,False,♦4 ♥10,,20000,0.2096357142857203,0.40704862311723417,0.006111402727103227,1750,2,1750,0,0,0,640,640,640,1,0,-626.3104578912888,-0.9877771945457936,875.0,fold,0,0.10177206993103027
30,0,4,2,deal,False,♥4 ♦A,,20000,0.2930886904762283,0.4551787670697722,0.0654993069413422,1430,2,1430,0,640,640,40,680,680,1,-640,51.699029717879085,-0.8690013861173156,715.0,call,0,0.10220003128051758
31,0,4,4,deal,False,♥8 ♥Q,,20000,0.31220476190479696,0.4633928663119082,0.08050832874884287,2750,2,2750,0,0,0,1280,1280,1280,2,0,-816.2720264066651,-0.8389833425023143,916.6666666666666,fold,0,0.09619927406311035
32,0,4,4,deal,False,♥9 ♠2,,20000,0.17722321428571958,0.381857495152259,0,2750,2,2750,0,0,0,1280,1280,1280,1,0,-1280,-1,1375.0,fold,0,0.10626602172851562
33,0,4,2,deal,False,♦J ♦4,,20000,0.2594119047619263,0.4383119533274396,0.04025592809820652,1470,2,1470,0,1280,1280,0,1280,1280,2,-1280,103.0551759314087,-0.9194881438035869,1470.0,check,0,0.0971987247467041
33,1,4,2,flop,True,♦J ♦4,♥5 ♠J ♠6,162,0.3055555555555556,0.45558942963490906,0.0752343895586528,1470,2,1470,1280,0,1280,1280,2560,0,4,0,-894.7999254596976,-0.8495312208826944,1470.0,fold,0,1.2193946838378906
35,0,3,3,deal,False,♠9 ♠Q,,20000,0.4189791666666051,0.4933919583515344,0.17228318749083793,1830,2,1830,0,0,0,1830,1830,2560,1,-1280,-537.8760938187156,-0.6554336250183241,1830.0,call,0,0.10136985778808594
