N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_sum,blind_level,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_N,game_id,game_phase,hand_score0,hand_score1,hand_score2,hole,logic,maxBet,minBet,op_chips_max,op_chips_min,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,tableNumber,thd_call,tight,tightness
5,1,1,0,1,5,0,1,0,4,1,323,fold,0.75,0,0,40,2,8S JS QD JH,0,2,12,3,2,11,12,8,2,11,0,9,0,0,0,0,10,6,16,0,2638,40,0.2716400623321533,False,0,6,20180802170516727,Early,1,11,12,6D TH,michael4,40,40,5890,2875,any_raised,ml_fold,2,E,80,360,0.09473684210526316,0.28219096706562613,0.301341390444655,-0.07298650083421811,none,0.16772334293948127,"[1, 0, 0, 0]",Turn,7,0,0,20,21,0.09090909090909091,True,-0.7054934777895482
5,1,0,0,0,5,0,0,0,5,0,60000.0,check,0.75,0,0,60,2,,,,,,,,,,,,0,7,0,1,1,0,12,10,22,0,2638,40,0.21437525749206543,False,0,6,20180802170516727,Early,0,12,10,TS QC,michael4,40,40,5690,2655,none,trash,1,E,0,0,0.2717892857141831,0.4448818605935257,0.18904125964378718,0,none,,"[0, 1, 0, 0]",Deal,8,0,0,20,21,0.4,True,0.1860000000000003
5,2,1,1,2,5,0,2,1,4,2,60000.0,fold,0.75,0,40,380,2,,,,,,,,,,,,0,7,0,1,1,0,12,10,22,0,2598,80,0.20198392868041992,False,0,6,20180802170516727,Early,0,12,10,TS QC,michael4,120,80,5630,2555,any_raised,trash,1,E,0,0,0.2717892857141831,0.4448818605935257,0.18904125964378718,0,check/call,,"[1, 0, 0, 0]",Deal,8,1,0,20,21,0.17391304347826086,True,0.1860000000000003
5,2,1,3,0,5,0,1,3,2,0,60000.0,check,0.75,0,40,100,2,,,,,,,,,,,,0,9,0,0,0,0,10,6,16,0,2558,0,0.21039605140686035,False,40,6,20180802170516727,Early,0,10,6,TH 6D,michael4,40,0,3864,3864,any_called,trash,BB,B,0,0,0.1804177248676877,0.38453500415600017,0.10966328410298355,0,none,,"[0, 1, 0, 0]",Deal,9,0,0,20,21,-0.4,True,0.1840000000000003
5,0,0,0,0,2,0,0,0,2,0,110,check,0.75,0,0,0,2,8C 9H 3H,0,2,9,0,1,9,9,3,2,9,0,9,0,0,0,0,10,6,16,0,2558,0,0.25929903984069824,True,0,6,20180802170516727,Early,0,10,9,TH 6D,michael4,0,40,3864,3864,none,ml_call,BB,B,40,100,0.4818181818181818,0.4858323351231778,0.8225926526929821,0.3014004569504941,none,0.1804177248676877,"[0, 1, 0, 0]",Flop,9,0,0,20,21,0.0,True,-0.6820000000000004
5,0,0,0,0,2,0,0,0,2,0,112,check,0.75,0,0,0,2,8C 9H 3H 4D,0,2,9,0,1,9,9,3,2,9,0,9,0,0,0,0,10,6,16,0,2558,0,0.24994587898254395,True,0,6,20180802170516727,Early,0,10,9,TH 6D,michael4,0,40,3864,3864,none,ml_call,BB,B,40,100,0.16071428571428573,0.36726721073577023,0.42088811720238695,-0.3211038961038961,none,0.4818181818181818,"[0, 1, 0, 0]",Turn,9,0,0,20,21,0.0,True,-0.708404736069082
5,0,0,0,0,2,0,0,0,2,0,128,check,0.75,0,0,0,2,8C 9H 3H 4D 6S,0,2,9,0,1,9,9,3,2,9,0,9,0,0,0,0,10,6,16,0,2558,0,0.25043296813964844,True,0,6,20180802170516727,Early,1,6,10,TH 6D,michael4,0,40,3864,3864,none,ml_call,BB,B,40,100,0.578125,0.4938587696649721,0.9539664305099887,0.4174107142857143,none,0.16071428571428573,"[0, 1, 0, 0]",River,9,0,0,20,21,0.0,True,-0.7610301843277079
5,2,1,2,0,5,0,1,2,3,0,60000.0,check,0.75,0,20,100,2,,,,,,,,,,,,0,9,0,0,0,0,5,3,8,0,2638,20,0.20603394508361816,False,20,6,20180802170516727,Early,0,5,3,3H 5C,michael4,40,20,5375,2838,any_called,trash,SB,B,0,0,0.1497706349206307,0.35684645414533944,0.08339719444959745,0,none,,"[0, 1, 0, 0]",Deal,10,0,0,20,21,0.0,True,0.1860000000000003
5,0,0,0,0,3,0,0,0,3,0,78,check,0.75,0,0,0,2,9H TS 6S,0,2,10,1,1,10,10,6,2,10,0,9,0,0,0,0,5,3,8,0,2618,0,0.276932954788208,True,0,6,20180802170516727,Early,0,10,9,3H 5C,michael4,0,40,5375,2838,none,ml_fold,SB,B,40,120,0.038461538461538464,0.19230769230769232,0.1700000000000001,-0.11130909645909223,none,0.1497706349206307,"[0, 1, 0, 0]",Flop,10,0,0,20,21,0.0,True,-0.6840000000000004
5,0,0,0,0,3,0,0,0,2,0,114,check,0.75,0,0,0,2,9H TS 6S 4S,0,2,10,1,1,10,10,4,3,10,0,9,0,0,0,0,5,3,8,0,2618,0,0.2662677764892578,True,0,6,20180802170516727,Early,0,10,9,3H 5C,michael4,0,40,5375,5375,none,ml_call,SB,B,40,120,0.15789473684210525,0.36464227527765836,0.416745770509593,0.11943319838056679,none,0.038461538461538464,"[0, 1, 0, 0]",Turn,10,0,0,20,21,0.0,True,-0.7098766413477005
5,0,0,0,0,3,0,0,0,2,0,154,check,0.75,0,0,0,2,9H TS 6S 4S 9C,0,2,10,1,2,9,10,4,3,10,0,9,0,0,0,0,5,3,8,0,2618,0,0.25281691551208496,True,0,6,20180802170516727,Early,1,9,10,3H 5C,michael4,0,40,5375,5375,none,fold,SB,B,40,120,0.0,0.0,0.0,-0.15789473684210525,none,0.15789473684210525,"[0, 1, 0, 0]",River,10,0,0,20,21,0.0,True,-0.7619671134681077
5,2,1,1,0,5,0,1,1,4,0,60000.0,bet,0.75,854,0,200,3,,,,,,,,,,,,0,6,0,0,1,0,13,10,23,1,2618,80,0.22028398513793945,False,0,6,20180802170516727,Early,0,13,10,KC TC,michael4,80,80,5455,2758,any_called,ml_raise,D,L,0,0,0.3147939153437703,0.46443374791923714,0.22748037073495359,0,none,,"[0, 0, 1, 854]",Deal,11,0,0,40,21,0.2857142857142857,True,0.1880000000000003
5,1,0,0,1,2,0,0,0,2,1,335,check,0.75,0,0,80,3,4H 8C AH,1,0,0,1,1,14,14,4,2,14,0,6,0,0,1,0,13,10,23,1,1764,80,0.26575398445129395,False,0,6,20180802170516727,Early,0,14,13,KC TC,michael4,80,80,1904,1904,any_raised,ml_call,D,L,854,1828,0.5477611940298508,0.4863381935382997,0.8891927516920122,0.23296727868608047,none,0.3147939153437703,"[0, 1, 0, 0]",Flop,11,0,0,40,21,0.04024144869215292,False,-0.6860000000000004
5,1,0,1,0,5,0,0,1,4,0,60000.0,check,0.75,0,0,120,3,,,,,,,,,,,,0,9,0,0,0,0,11,8,19,1,3672,80,0.20653796195983887,False,0,6,20180802170516727,Early,0,11,8,8H JH,michael4,80,80,5455,3105,all_folded,trash,2,E,0,0,0.2526355820104967,0.43452369867789065,0.17007607926169732,0,none,,"[0, 1, 0, 0]",Deal,12,0,0,40,21,0.4,True,0.1900000000000003
5,1,0,0,1,3,0,0,0,3,1,368,check,0.75,0,0,80,3,3S AH 9C,1,0,0,1,1,14,14,3,1,9,0,9,0,0,0,0,11,8,19,1,3592,80,0.2587151527404785,False,0,6,20180802170516727,Early,0,14,11,8H JH,michael4,80,80,5375,3624,any_raised,ml_fold,2,E,80,320,0.1983695652173913,0.39649399315747,0.4711295899145212,-0.05426601679310539,none,0.2526355820104967,"[0, 1, 0, 0]",Flop,12,0,0,40,21,0.16666666666666666,True,-0.6840000000000004
5,1,0,0,3,3,0,1,0,3,3,722,fold,0.75,0,80,440,3,3S AH 9C,1,0,0,1,1,14,14,3,1,9,0,9,0,0,0,0,11,8,19,1,3512,160,0.2579841613769531,False,0,6,20180802170516727,Early,0,14,11,8H JH,michael4,240,160,5255,3464,any_raised,ml_fold,2,E,80,320,0.21329639889196675,0.4085066512035286,0.4934869157939007,-0.039339183118529936,check/call,0.2526355820104967,"[1, 0, 0, 0]",Flop,12,1,0,40,21,0.17391304347826086,True,-0.6840000000000004
5,1,0,0,0,5,0,0,0,5,0,60000.0,bet,0.75,1262,0,120,3,,,,,,,,,,,,0,6,0,0,1,0,13,10,23,1,3512,80,0.21628904342651367,False,0,6,20180802170516727,Early,0,13,10,TH KH,michael4,80,80,5135,1824,none,ml_raise,1,E,0,0,0.3147939153437703,0.46443374791923714,0.22562263574327665,0,none,,"[0, 0, 1, 1262]",Deal,13,0,0,40,21,0.4,True,0.1920000000000003
5,1,0,0,1,2,0,0,0,2,1,357,bet,0.75,369,0,80,3,TS 4C 4H,0,0,0,1,2,4,10,4,1,4,0,6,0,0,1,0,13,10,23,1,2250,80,0.26482486724853516,False,0,6,20180802170516727,Early,2,10,4,TH KH,michael4,80,80,1763,1763,any_raised,ml_raise,1,E,1262,2604,0.7983193277310925,0.39598471943977864,1.0735802608743175,0.48352541238732216,none,0.3147939153437703,"[0, 0, 1, 369]",Flop,13,0,0,40,21,0.02894356005788712,False,-0.6860000000000004
5,1,0,0,1,2,0,0,0,2,1,347,bet,0.75,160,0,80,3,TS 4C 4H 5C,0,2,5,1,2,4,10,4,2,5,0,6,0,0,1,0,13,10,23,1,1881,80,0.2748260498046875,False,0,6,20180802170516727,Early,2,10,4,TH KH,michael4,80,80,1394,1394,any_raised,ml_raise,1,E,1631,3342,0.7838616714697406,0.4063247283882681,1.0778318790609192,-0.01445765626135187,none,0.7983193277310925,"[0, 0, 1, 160]",Turn,13,0,0,40,21,0.022844089091947458,False,-0.7141964878233248
