round_id,playerName,chips,reloadCount,cards,hand,position,act_deal,bet_deal,act_flop,bet_flop,act_turn,bet_turn,act_river,bet_river,allIn,folded,rank,message,winMoney
12,ヽ(=^･ω･^=)丿,920,2,♣K ♣2,♣K ♣2 ♥K ♥4 ♣9 ♥2 ♦K,,call,80.0,bet,80.0,bet,80.0,bet,352,False,False,256.0,Full House,1424.0
12,Chicken Dinner,1472,2,♥6 ♠7,♥6 ♠7 ♥K ♥4 ♣9 ♥2 ♦K,,call,80.0,fold,0.0,fold,0.0,fold,0,False,True,20.0088,Pair,0.0
12,PCB,2872,1,♦9 ♦J,♦9 ♦J ♥K ♥4 ♣9 ♥2 ♦K,,call,80.0,call,80.0,call,80.0,call,352,False,False,84.0256,Two Pair,0.0
12,A_P_T^T,1500,0,♠J ♠8,♠J ♠8 ♥K ♥4 ♣9 ♥2 ♦K,SB,call,80.0,fold,0.0,fold,0.0,fold,0,False,True,20.0352,Pair,0.0
13,(=^-Ω-^=),5156,2,♠8 ♥2,♠8 ♥2 ♦8 ♣Q ♣8 ♥3 ♦6,SB,call,80.0,bet,500.0,bet,500.0,bet,500,False,False,106.052,Three of a Kind,3820.0
13,ヽ(=^･ω･^=)丿,1752,2,♦7 ♥K,♦7 ♥K ♦8 ♣Q ♣8 ♥3 ♦6,BB,call,80.0,fold,0.0,fold,0.0,fold,0,False,True,15.1552,Pair,0.0
13,Chicken Dinner,1392,2,♣7 ♠5,♣7 ♠5 ♦8 ♣Q ♣8 ♥3 ♦6,,call,80.0,call,500.0,fold,0.0,fold,0,False,True,15.0536,Pair,0.0
13,PCB,2280,1,♣10 ♠Q,♣10 ♠Q ♦8 ♣Q ♣8 ♥3 ♦6,,call,80.0,call,500.0,call,500.0,call,500,False,False,73.0128,Two Pair,0.0
13,A_P_T^T,1420,0,♦9 ♣5,♦9 ♣5 ♦8 ♣Q ♣8 ♥3 ♦6,,fold,0.0,fold,0.0,fold,0.0,fold,0,False,True,15.0584,Pair,0.0
14,(=^-Ω-^=),7396,2,♥J ♣6,♥J ♣6 ♦9 ♦6 ♠Q ♣5 ♥Q,,call,160.0,bet,500.0,,,bet,500,False,False,71.0256,Two Pair,460.0
14,ヽ(=^･ω･^=)丿,1672,2,♣Q ♥8,♣Q ♥8 ♦9 ♦6 ♠Q ♣5 ♥Q,SB,call,160.0,fold,0.0,,,fold,0,False,True,110.0096,Three of a Kind,0.0
14,Chicken Dinner,812,2,♥A ♥10,♥A ♥10 ♦9 ♦6 ♠Q ♣5 ♥Q,BB,call,160.0,fold,0.0,,,fold,0,False,True,19.224,Pair,0.0
14,PCB,700,1,♥9 ♣9,♥9 ♣9 ♦9 ♦6 ♠Q ♣5 ♥Q,,raise,160.0,call,500.0,,,allin,40,True,False,217.0,Full House,2380.0
14,A_P_T^T,1420,0,♣10 ♠K,♣10 ♠K ♦9 ♦6 ♠Q ♣5 ♥Q,,call,160.0,call,500.0,,,fold,0,False,True,19.1216,Pair,0.0
15,(=^-Ω-^=),6696,2,♦A ♣Q,♦A ♣Q ♠10 ♣10 ♥3 ♣9 ♠6,,fold,0.0,fold,0.0,fold,0.0,fold,0,False,True,17.2624,Pair,0.0
15,ヽ(=^･ω･^=)丿,1512,2,♥8 ♣J,♥8 ♣J ♠10 ♣10 ♥3 ♣9 ♠6,,fold,0.0,fold,0.0,fold,0.0,fold,0,False,True,17.0352,Pair,0.0
15,Chicken Dinner,652,2,♥4 ♣4,♥4 ♣4 ♠10 ♣10 ♥3 ♣9 ♠6,SB,call,80.0,bet,178.0,bet,142.0,bet,114,False,False,52.0064,Two Pair,0.0
15,PCB,2380,1,♠3 ♠9,♠3 ♠9 ♠10 ♣10 ♥3 ♣9 ♠6,BB,call,80.0,call,178.0,call,142.0,call,114,False,False,57.0008,Two Pair,1028.0
15,A_P_T^T,760,0,♠4 ♠7,♠4 ♠7 ♠10 ♣10 ♥3 ♣9 ♠6,,fold,0.0,fold,0.0,fold,0.0,fold,0,False,True,17.0088,Pair,0.0
16,(=^-Ω-^=),6696,2,♣Q ♠6,♣Q ♠6 ♠3 ♣9 ♣5 ♥5 ♥J,,,,,,,,fold,0,False,True,12.0832,Pair,0.0
16,ヽ(=^･ω･^=)丿,1512,2,♥6 ♥10,♥6 ♥10 ♠3 ♣9 ♣5 ♥5 ♥J,,,,,,,,fold,0,False,True,12.0448,Pair,0.0
16,Chicken Dinner,138,2,♣6 ♣4,♣6 ♣4 ♠3 ♣9 ♣5 ♥5 ♥J,,,,,,,,fold,0,False,True,12.0328,Pair,0.0
16,PCB,2894,1,♦A ♣2,♦A ♣2 ♠3 ♣9 ♣5 ♥5 ♥J,SB,,,,,,,fold,80,False,True,12.2368,Pair,0.0
16,A_P_T^T,760,0,♣K ♣10,♣K ♣10 ♠3 ♣9 ♣5 ♥5 ♥J,BB,,,,,,,call,160,False,False,12.1408,Pair,240.0
17,(=^-Ω-^=),6696,2,♦5 ♦2,♦5 ♦2 ♠5 ♣4 ♣6 ♣10 ♥6,BB,call,160.0,bet,500.0,bet,500.0,bet,500,False,False,31.0128,Two Pair,0.0
