round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,prWin_adj,chips,reld,stack,pot,bet,cost_to_call,pot_sum,bet_sum,maxBet_all,N_maxBet_all,thd_call,bet_limit,action,amount,cputime
7,5,9,3,turn,True,♠Q ♠10,♣10 ♥J ♦8 ♥7,194,0.04467353951890034,0.17342890558000745,0.15411624735282392,3490,0,5490,276,0,20,1040,0,0,9,0.018867924528301886,24.455723813949497,check,0,1.192216157913208
7,6,9,3,turn,False,♠Q ♠10,♣10 ♥J ♦8 ♥7,1198,0.041597106288258204,0.1728388826007804,0.14737413483743655,3490,0,5490,276,0,36,1040,36,36,1,0.03237410071942446,43.52280161255592,check,0,1.2610969543457031
7,7,9,3,river,True,♠Q ♠10,♣10 ♥J ♦8 ♥7 ♠4,281,0.0,0.0,0.0,3454,0,5454,312,0,20,1148,0,0,9,0.017123287671232876,0.0,fold,0,1.2098350524902344
8,0,9,7,deal,False,♠Q ♥4,,60000,0.0974166666666785,0.2802152047815472,0.2738486243958923,3454,0,5454,0,0,27,0,131,27,3,0.17088607594936708,43.34726483298648,check,0,0.3262200355529785
8,1,9,6,flop,False,♠Q ♥4,♦J ♦2 ♣K,1718,0.034730306558013194,0.16748437847725373,0.13364005600791734,3427,0,5427,27,0,60,189,210,60,3,0.13071895424836602,70.94334068443946,check,0,1.305661916732788
8,2,9,6,turn,False,♠Q ♥4,♦J ♦2 ♣K ♣9,1551,0.04002793896410917,0.1634542965158398,0.1431981092472133,3367,0,5367,87,0,60,549,210,60,3,0.07326007326007326,72.04013596551506,check,0,1.2954330444335938
8,3,9,5,river,False,♠Q ♥4,♦J ♦2 ♣K ♣9 ♥8,1670,0.0,0.0,0.0,3307,0,5307,147,0,63,909,156,63,2,0.05585106382978723,0.0,fold,0,1.3178772926330566
9,0,9,9,deal,False,♣6 ♦6,,60000,0.1459574074074204,0.34043154124297537,0.3577955138635462,3307,0,5307,0,0,40,0,190,40,3,0.17391304347826086,90.32126954422797,check,0,0.3110771179199219
9,1,9,9,deal,False,♣6 ♦6,,60000,0.1459574074074204,0.34043154124297537,0.3577955138635462,3267,0,5267,0,40,128,0,803,168,3,0.13748657357679914,289.02806254152955,bet,289,0.30799102783203125
9,2,9,6,flop,False,♣6 ♦6,♠6 ♦5 ♥A,958,0.6795407098121086,0.4666531190511473,0.9323204420949711,2978,0,4978,329,0,310,2811,340,310,1,0.08956948858711355,inf,allin,0,1.239912986755371
10,0,7,6,deal,False,♦K ♥3,,60000,0.1357694444444078,0.29305108058446033,0.3430083087552249,1942,0,3942,0,0,40,0,100,40,2,0.2857142857142857,83.69763852284645,check,0,0.3355708122253418
10,1,7,5,deal,False,♦K ♥3,,60000,0.1357694444444078,0.29305108058446033,0.3430083087552249,1902,0,3902,0,40,26,0,278,66,3,0.08552631578947369,54.4034650398502,check,0,0.3166179656982422
10,2,7,4,flop,False,♦K ♥3,♦4 ♦A ♠2,920,0.11878019323671497,0.2910274135581859,0.29462437700242106,1876,0,3876,66,0,90,330,135,90,1,0.16216216216216217,154.55535847730692,check,0,1.2801740169525146
10,3,7,4,turn,True,♦K ♥3,♦4 ♦A ♠2 ♥10,837,0.04121863799283154,0.1762296741066598,0.14476452288307468,1786,0,3786,156,0,40,690,0,0,7,0.0547945205479452,48.15034151757458,check,0,1.2771961688995361
10,4,7,4,river,False,♦K ♥3,♦4 ♦A ♠2 ♥10 ♣6,1728,0.0,0.0,0.0,1786,0,3786,156,0,40,690,40,40,1,0.05194805194805195,0.0,fold,0,1.3596179485321045
11,0,7,7,deal,False,♥8 ♥Q,,60000,0.1953500000000089,0.34785398973558274,0.437196635841304,1786,0,3786,0,0,80,0,140,80,1,0.36363636363636365,358.4542781731021,check,0,0.3591759204864502
11,1,7,7,deal,False,♥8 ♥Q,,60000,0.1953500000000089,0.34785398973558274,0.437196635841304,1706,0,3706,0,80,276,0,1136,356,1,0.1954674220963173,1236.6672596972026,check,0,0.28629302978515625
11,2,7,7,deal,False,♥8 ♥Q,,60000,0.1953500000000089,0.34785398973558274,0.437196635841304,1430,0,3430,0,356,356,0,2738,712,1,0.11506140917905623,1595.1215378703048,check,0,0.30025696754455566
11,3,7,7,flop,False,♥8 ♥Q,♥7 ♥10 ♥4,220,0.6818181818181818,0.46577048936179993,0.935973362266963,1074,0,3074,712,0,40,4162,40,40,1,0.00942951438000943,inf,allin,0,1.233288049697876
12,0,6,6,deal,False,♦6 ♦4,,60000,0.1733108465608429,0.3329610531031341,0.40231289451271457,6138,0,8138,0,0,40,0,60,40,1,0.4,122.36765589601342,check,0,0.3291609287261963
12,1,6,6,deal,False,♦6 ♦4,,60000,0.1733108465608429,0.3329610531031341,0.40231289451271457,6098,0,8098,0,40,120,0,520,160,2,0.1875,367.1029676880403,check,0,0.3106062412261963
12,2,6,6,deal,False,♦6 ♦4,,60000,0.1733108465608429,0.3329610531031341,0.40231289451271457,5978,0,7978,0,160,480,0,2080,640,2,0.1875,1468.4118707521611,check,0,0.2995600700378418
12,3,6,6,flop,False,♦6 ♦4,♠3 ♥10 ♣K,1086,0.0285451197053407,0.16232399815410908,0.11965040719791528,5498,0,7498,640,0,40,3580,40,40,1,0.01092896174863388,46.29160169813436,check,0,1.294726848602295
12,4,6,5,flop,False,♦6 ♦4,♠3 ♥10 ♣K,3332,0.03291316526610644,0.17548829586672224,0.13052082322857284,5458,0,7458,640,40,40,3580,280,80,3,0.010256410256410256,47.06512471793871,check,0,1.3556358814239502
12,5,6,5,turn,False,♦6 ♦4,♠3 ♥10 ♣K ♠8,1231,0.00040617384240454913,0.01424506735723004,0.010827006230939335,5418,0,7418,720,0,40,3900,80,40,2,0.009950248756218905,40.44266573865894,check,0,1.301386833190918
12,6,6,4,turn,False,♦6 ♦4,♠3 ♥10 ♣K ♠8,3411,0.000732922896511287,0.025672815016821355,0.014728943930198891,5378,0,7378,720,40,40,3900,240,80,2,0.009569377990430622,40.60703986961383,check,0,1.3834340572357178
12,7,6,4,river,False,♦6 ♦4,♠3 ♥10 ♣K ♠8 ♦Q,1749,0.0,0.0,0.0,5338,0,7338,800,0,40,4180,40,40,1,0.009389671361502348,0.0,fold,0,1.3334870338439941
13,0,6,5,deal,False,♠2 ♦5,,60000,0.11524179894180446,0.27511549697915993,0.30682991344436444,5298,0,7298,0,40,440,0,944,480,1,0.28901734104046245,789.4463462815634,bet,789,0.3344128131866455
13,1,6,5,deal,False,♠2 ♦5,,60000,0.11524179894180446,0.27511549697915993,0.30682991344436444,4509,0,6509,0,829,171,0,3727,1000,1,0.04386865059004618,306.80755730488033,check,0,0.3113739490509033
13,2,6,5,flop,True,♠2 ♦5,♥A ♣7 ♥7,240,0.011805555555555554,0.09848142881268353,0.0709831691793791,4338,0,6338,1000,0,40,4240,0,0,6,0.009345794392523364,43.3091088311665,bet,43,1.2222461700439453
13,3,6,5,turn,True,♠2 ♦5,♥A ♣7 ♥7 ♣10,261,0.0,0.0,0.0,4295,0,6295,1043,0,40,4326,0,0,6,0.009161704076958314,0.0,fold,0,1.2342610359191895
14,0,5,4,deal,False,♥Q ♦8,,60000,0.2228063492062726,0.3229527043661896,0.47040334393301264,4275,0,6275,0,20,60,0,180,80,1,0.16666666666666666,536.814011895461,check,0,0.31726813316345215
14,1,5,4,deal,False,♥Q ♦8,,60000,0.2228063492062726,0.3229527043661896,0.47040334393301264,4215,0,6215,0,80,244,0,646,324,1,0.27415730337078653,2183.043648374875,check,0,0.31349802017211914
14,2,5,4,flop,True,♥Q ♦8,♠8 ♥4 ♣A,165,0.13636363636363635,0.3409595922190352,0.324457675030982,3971,0,5971,324,0,40,1296,0,0,5,0.029940119760479042,76.96631853181238,check,0,1.2297837734222412
14,3,5,4,flop,False,♥Q ♦8,♠8 ♥4 ♣A,1100,0.14257575757575755,0.3411217855013338,0.33421348305658516,3971,0,5971,324,0,3916,1296,4642,3916,1,0.39740207022528923,5985.286677647494,bet,5985,1.270158052444458
