tableNumber,game_id,round_id,smallBlind,playerName,isHuman,isOnline,isSurvive,chips,reloadCount,folded,allIn,position,cards,board,rank,message,winMoney
150,20180810125958249,9,20,1c7e0ca445fee61ec9caabb5003b044b,False,True,True,2940,0,True,False,D,6C 4S,9S KH 5D KD 6D,81.0064,Two Pair,0.0
150,20180810125958249,9,20,4e0879c5e51ac597357450b296c5bc3b,False,True,True,3470,0,False,False,SB,9C 8S,9S KH 5D KD 6D,84.0032,Two Pair,330.0
150,20180810125958249,9,20,71b3f31e76d1a5888a5652aba6474197,False,True,True,2680,0,True,False,BB,8C 2C,9S KH 5D KD 6D,20.0104,Pair,0.0
150,20180810125958249,9,20,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,2910,0,True,False,1,TC 2H,9S KH 5D KD 6D,20.02,Pair,0.0
150,20180810125958249,10,20,8c55ef579f68a40624f9c00488044e9c,False,True,True,1660,0,True,False,1,TS QD,9D 5D 6H 2D AH,8.0712,High Card,0.0
150,20180810125958249,10,20,e55c711e6dbac6abb296dd1379310b58,False,True,True,3100,0,True,False,2,KS 7C,9D 5D 6H 2D AH,8.1112,High Card,0.0
150,20180810125958249,10,20,1c7e0ca445fee61ec9caabb5003b044b,False,True,True,2860,0,True,False,3,2C QS,9D 5D 6H 2D AH,9.2624,Pair,0.0
150,20180810125958249,10,20,4e0879c5e51ac597357450b296c5bc3b,False,True,True,2550,0,True,False,D,5H KH,9D 5D 6H 2D AH,12.3136,Pair,0.0
150,20180810125958249,10,20,71b3f31e76d1a5888a5652aba6474197,False,True,True,2660,0,True,False,SB,4H AC,9D 5D 6H 2D AH,21.0076,Pair,0.0
150,20180810125958249,10,20,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,5170,0,False,True,BB,AS 6S,9D 5D 6H 2D AH,92.0064,Two Pair,5170.0
150,20180810125958249,11,20,8c55ef579f68a40624f9c00488044e9c,False,True,True,180,0,True,False,BB,9C 9H,TH 5S 7C KC JH,16.1408,Pair,0.0
150,20180810125958249,11,20,e55c711e6dbac6abb296dd1379310b58,False,True,True,3060,0,True,False,1,TD 9D,TH 5S 7C KC JH,17.1344,Pair,0.0
150,20180810125958249,11,20,1c7e0ca445fee61ec9caabb5003b044b,False,True,True,2820,0,True,False,2,8S 6S,TH 5S 7C KC JH,7.0432,High Card,0.0
150,20180810125958249,11,20,4e0879c5e51ac597357450b296c5bc3b,False,True,True,4130,0,False,False,3,4H QH,TH 5S 7C KC JH,7.0912,High Card,3100.0
150,20180810125958249,11,20,71b3f31e76d1a5888a5652aba6474197,False,True,True,2660,0,True,False,D,JC 6D,TH 5S 7C KC JH,18.1168,Pair,0.0
150,20180810125958249,11,20,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,5150,0,True,False,SB,2S 7H,TH 5S 7C KC JH,14.1408,Pair,0.0
150,20180810125958249,12,20,8c55ef579f68a40624f9c00488044e9c,False,True,True,160,0,True,False,SB,9H 9D,3D 8S QC 8D KD,49.1024,Two Pair,0.0
150,20180810125958249,12,20,e55c711e6dbac6abb296dd1379310b58,False,True,True,3020,0,True,False,BB,TC 5C,3D 8S QC 8D KD,15.1664,Pair,0.0
150,20180810125958249,12,20,1c7e0ca445fee61ec9caabb5003b044b,False,True,True,2460,0,True,False,1,3H 7H,3D 8S QC 8D KD,38.1024,Two Pair,0.0
150,20180810125958249,12,20,4e0879c5e51ac597357450b296c5bc3b,False,True,True,3680,0,False,False,2,JS 6D,3D 8S QC 8D KD,15.1792,Pair,0.0
150,20180810125958249,12,20,71b3f31e76d1a5888a5652aba6474197,False,True,True,3530,0,False,False,3,TH QH,3D 8S QC 8D KD,73.1024,Two Pair,1320.0
150,20180810125958249,12,20,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,5150,0,True,False,D,6S 7C,3D 8S QC 8D KD,15.1552,Pair,0.0
150,20180810125958249,13,40,8c55ef579f68a40624f9c00488044e9c,False,True,True,80,0,True,False,D,9D 7C,7S KS 4H 7H 8S,105.1088,Three of a Kind,0.0
150,20180810125958249,13,40,e55c711e6dbac6abb296dd1379310b58,False,True,True,2980,0,True,False,SB,8C 6S,7S KS 4H 7H 8S,42.1024,Two Pair,0.0
150,20180810125958249,13,40,1c7e0ca445fee61ec9caabb5003b044b,False,True,True,2900,0,False,False,BB,2D AS,7S KS 4H 7H 8S,14.3104,Pair,760.0
150,20180810125958249,13,40,4e0879c5e51ac597357450b296c5bc3b,False,True,True,3360,0,False,False,1,2H QD,7S KS 4H 7H 8S,14.1568,Pair,0.0
150,20180810125958249,13,40,71b3f31e76d1a5888a5652aba6474197,False,True,True,3530,0,True,False,2,2S KD,7S KS 4H 7H 8S,82.0032,Two Pair,0.0
150,20180810125958249,13,40,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,5150,0,True,False,3,5C TC,7S KS 4H 7H 8S,14.1184,Pair,0.0
150,20180810125958249,14,40,8c55ef579f68a40624f9c00488044e9c,False,True,True,80,0,True,False,3,6H 4D,3S KD 2S QD 6D,13.1538,Pair,0.0
150,20180810125958249,14,40,e55c711e6dbac6abb296dd1379310b58,False,True,True,2980,0,True,False,D,8C 2H,3S KD 2S QD 6D,9.1568,Pair,0.0
150,20180810125958249,14,40,1c7e0ca445fee61ec9caabb5003b044b,False,True,True,2860,0,True,False,SB,JC 4S,3S KD 2S QD 6D,7.0778,High Card,0.0
150,20180810125958249,14,40,4e0879c5e51ac597357450b296c5bc3b,False,True,True,3280,0,True,False,BB,8H 5C,3S KD 2S QD 6D,7.0556,High Card,0.0
150,20180810125958249,14,40,71b3f31e76d1a5888a5652aba6474197,False,True,True,3450,0,True,False,1,9D 7C,3S KD 2S QD 6D,7.06,High Card,0.0
150,20180810125958249,14,40,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,5350,0,False,False,2,AH TC,3S KD 2S QD 6D,8.1672,High Card,1857.0
150,20180810125958249,15,40,8c55ef579f68a40624f9c00488044e9c,False,True,True,0,0,False,True,2,4C 3C,JH JC 3H QS 5S,59.0512,Two Pair,0.0
150,20180810125958249,15,40,e55c711e6dbac6abb296dd1379310b58,False,True,True,2820,0,True,False,3,5D 9D,JH JC 3H QS 5S,61.0512,Two Pair,0.0
