tableNumber,game_id,round_id,smallBlind,roundName,forced_bet,N_effective,N,Nnf,Nallin,first,hole,board,cards_rank1,cards_rank2,cards_rank_sum,cards_aces,cards_faces,cards_pair,cards_suit,cards_conn,cards_conn2,cards_category,hand_score0,hand_score1,chips,position,position_feature,pot,bet,minBet,cost_to_call,pot_sum,bet_sum,NMaxBet,Nfold,Ncall,Nraise,self_Ncall,self_Nraise,prev_action,NRfold,NRcall,NRraise,op_resp,Nsim,prWin,prWinStd,tightness,aggresiveness,prWin_adj,logic,bet_minimum,bet_limit,prev_prWin,prWin_delta,thd_call,play,resp,action,amount,cputime
353,20180727194141117,11,20,Deal,0,8,8,8,0,False,8H AD,,14,8,22,1,0,0,0,0,0,7,0,14,1651,1,E,0,0,40,40,0,60,1,0,0,0,0,0,none,0,0,0,none,60000,0.1547379629629643,0.32202627377608517,-0.516,0.75,0.3413517908374165,michael3,160,255.47237685185405,,0,0.4,ml_raise,"[0, 0, 1, 170]",bet,170,0.5431530475616455
353,20180727194141117,11,20,Deal,0,8,8,6,0,False,8H AD,,14,8,22,1,0,0,0,0,0,7,0,14,1481,1,E,0,170,260,260,0,1300,1,2,0,0,0,0,bet,2,0,0,all_folded,60000,0.1547379629629643,0.32202627377608517,-0.516,0.75,0.3413517908374165,michael3,160,229.16692314815012,,0,0.16666666666666666,ml_fold,"[1, 0, 0, 0]",fold,0,0.5023651123046875
353,20180727194141117,12,20,Deal,40,8,8,8,0,False,5D 9H,,9,5,14,0,0,0,0,0,0,9,0,9,1441,BB,B,0,40,40,40,0,360,1,0,0,0,0,0,none,0,0,0,none,60000,0.09849490740740643,0.2702606649946001,-0.516,0.75,0.25225395560499353,michael3,160,141.93116157407266,,0,0.0,trash,"[1, 0, 0, 0]",fold,0,0.4745910167694092
353,20180727194141117,13,20,Deal,20,8,8,7,0,False,5D 7H,,7,5,12,0,0,0,0,0,1,9,0,7,1421,SB,B,0,20,100,100,0,340,1,1,0,0,0,0,none,1,0,0,all_folded,60000,0.10894953703703607,0.2865293166677777,-0.516,0.75,0.26972269643201324,michael3,160,154.81729212962824,,0,0.18181818181818182,trash,"[1, 0, 0, 0]",fold,0,0.47670722007751465
353,20180727194141117,14,20,Deal,0,7,7,6,0,False,4D 2H,,4,2,6,0,0,0,0,0,0,9,0,4,1421,D,L,0,0,120,120,0,260,1,1,0,0,0,0,none,1,0,0,all_folded,60000,0.09443908730157526,0.26140194728367827,-0.406,0.75,0.21316916676037312,michael3,160,134.19794305553845,,0,0.3157894736842105,trash,"[1, 0, 0, 0]",fold,0,0.4737989902496338
353,20180727194141117,15,20,Deal,0,7,7,7,0,False,6S 4H,,6,4,10,0,0,0,0,0,1,9,0,6,1421,4,L,0,0,120,120,0,260,1,0,0,0,0,0,none,0,0,0,none,60000,0.11751924603172316,0.28816446098978327,-0.406,0.75,0.2482666736534177,michael3,160,166.99484861107862,,0,0.3157894736842105,trash,"[1, 0, 0, 0]",fold,0,0.4848480224609375
353,20180727194141117,16,40,Deal,0,7,7,6,0,False,3H 8D,,8,3,11,0,0,0,0,0,0,9,0,8,1421,3,M,0,0,240,240,0,360,1,1,0,0,0,0,none,1,0,0,all_folded,60000,0.0904154761904643,0.24860137738666566,-0.406,0.75,0.20684656311000132,michael3,320,128.48039166664978,,0,0.4,trash,"[1, 0, 0, 0]",fold,0,0.4674398899078369
353,20180727194141117,17,40,Deal,0,7,7,7,0,False,KD 9D,,13,9,22,0,0,0,1,0,0,8,0,13,1421,2,E,0,0,240,240,0,360,1,0,0,0,0,0,none,0,0,0,none,60000,0.2185476190476412,0.3620184361623168,-0.406,0.75,0.38633153746621596,michael3,320,310.5561666666981,,0,0.4,ml_fold,"[1, 0, 0, 0]",fold,0,0.5323338508605957
353,20180727194141117,18,40,Deal,0,7,7,7,0,False,TD 8C,,10,8,18,0,0,0,0,0,1,9,0,10,1421,1,E,0,0,80,80,0,120,1,0,0,0,0,0,none,0,0,0,none,60000,0.1605422619047446,0.31971033508855257,-0.406,0.75,0.309588198591972,michael3,320,228.13055416664207,,0,0.4,trash,"[1, 0, 0, 0]",fold,0,0.47559690475463867
353,20180727194141117,19,40,Deal,80,7,7,6,0,False,9D 5C,,9,5,14,0,0,0,0,0,0,9,0,9,1341,BB,B,0,80,80,80,0,560,1,1,0,0,0,0,none,1,0,0,all_folded,60000,0.11316805555553121,0.2743547920629393,-0.406,0.75,0.2417880909438337,michael3,320,151.75836249996735,,0,0.0,trash,"[1, 0, 0, 0]",fold,0,0.4679121971130371
