N,NMaxBet,NRcall,NRfold,NRraise,N_effective,Nallin,Ncall,Nfold,Nnf,Nraise,Nsim,action,aggresiveness,amount,bet,bet_limit,bet_minimum,bet_sum,board,board_aces,board_conn,board_conn_rank,board_faces,board_kind,board_kind_rank,board_rank1,board_rank2,board_suit,board_suit_rank,cards_aces,cards_category,cards_conn,cards_conn2,cards_faces,cards_pair,cards_rank1,cards_rank2,cards_rank_sum,cards_suit,chips,cost_to_call,cputime,first,forced_bet,game_id,hand_score0,hand_score1,hole,logic,minBet,op_resp,play,position,position_feature,pot,pot_sum,prWin,prWinStd,prWin_adj,prWin_delta,prev_action,prev_prWin,resp,roundName,round_id,self_Ncall,self_Nraise,smallBlind,tableNumber,thd_call,tightness
5,1,0,0,0,5,0,0,0,5,0,60000,fold,0.75,0,0,682.1594177247272,640,720,,,,,,,,,,,,0,9,0,0,0,0,10,6,16,0,3781,320,0.44127798080444336,False,0,20180727173222723,0,10,6H TS,michael3,320,none,trash,D,L,0,0,0.1804177248676877,0.3024604689250246,0.2519412356407037,0,none,,"[1, 0, 0, 0]",Deal,17,0,0,80,71,0.3076923076923077,-0.186
4,2,0,0,0,4,0,0,0,4,0,60000,fold,0.75,0,0,651.0349359127069,640,400,,,,,,,,,,,,0,9,0,0,0,0,8,3,11,0,3781,160,0.43855905532836914,False,0,20180727173222723,0,8,8C 3D,michael3,160,none,trash,D,L,0,0,0.17218591269841496,0.2825068465990428,0.2008791009141997,0,none,,"[1, 0, 0, 0]",Deal,18,0,0,80,71,0.2857142857142857,-0.076
4,1,0,0,0,4,0,0,0,4,0,60000,bet,0.75,1355,0,1392.7846140871259,640,240,,,,,,,,,,,,1,5,0,0,1,0,14,11,25,0,3781,160,0.48868417739868164,False,0,20180727173222723,0,14,JD AH,michael3,160,none,ml_raise,1,E,0,0,0.36836408730154085,0.3555204253869488,0.40502351165538114,0,none,,"[0, 0, 1, 1355]",Deal,19,0,0,80,71,0.4,-0.076
4,4,0,0,0,4,0,0,0,4,0,60000,check,0.75,0,160,1140.721879364903,640,640,,,,,,,,,,,,0,9,0,0,0,0,9,3,12,1,5056,0,0.42606282234191895,False,160,20180727173222723,0,9,3S 9S,michael3,0,none,trash,BB,B,0,0,0.22561746031742547,0.3285672256870711,0.2573845713883831,0,none,,"[0, 1, 0, 0]",Deal,20,0,0,80,71,-0.25,-0.076
4,1,0,0,0,4,0,0,0,4,0,341,fold,0.75,0,0,0,800,160,JD KD AD,1,2,14,3,1,14,14,11,3,14,0,9,0,0,0,0,9,3,12,1,5056,160,0.22738409042358398,False,0,20180727173222723,0,14,3S 9S,michael3,160,none,fold,BB,B,160,640,0.032991202346041054,0.14647719562292727,0.07728735071506496,-0.1926262579713844,none,0.22561746031742547,"[1, 0, 0, 0]",Flop,20,0,0,80,71,0.16666666666666666,-0.248
4,3,0,0,0,4,0,0,0,4,0,60000,check,0.75,0,80,996.0283460316563,640,560,,,,,,,,,,,,0,9,0,0,0,0,7,2,9,1,4976,80,0.4272620677947998,False,80,20180727173222723,0,7,7S 2S,michael3,80,none,trash,SB,B,0,0,0.2001664682539502,0.3187825610474683,0.23057595283225618,0,none,,"[0, 1, 0, 0]",Deal,21,0,0,80,71,0.0,-0.076
4,0,0,0,0,3,0,0,0,3,0,75,bet,0.75,3619,0,4896,640,0,3S 7C AS,1,0,0,1,1,14,14,3,2,14,0,9,0,0,0,0,7,2,9,1,4896,0,0.2844889163970947,True,0,20180727173222723,1,7,7S 2S,michael3,160,none,ml_raise,SB,B,160,640,0.68,0.46647615158762407,0.7956860855937308,0.4798335317460498,none,0.2001664682539502,"[0, 0, 1, 3619]",Flop,21,0,0,80,71,0.0,-0.248
4,0,0,0,0,3,0,0,0,2,0,72,check,0.75,0,0,1277,7878,0,3S 7C AS TC,1,0,0,2,1,14,14,3,2,10,0,9,0,0,0,0,7,2,9,1,1277,0,0.2585759162902832,True,0,20180727173222723,1,7,7S 2S,michael3,160,none,ml_fold,SB,B,3779,7878,0.4861111111111111,0.4998070615401828,0.6350536154500855,-0.19388888888888894,none,0.68,"[0, 1, 0, 0]",Turn,21,0,0,80,71,0.0,-0.298
4,2,0,0,0,4,0,0,0,4,0,60000,fold,0.75,0,0,2748.8486934517946,1280,800,,,,,,,,,,,,0,9,0,0,0,0,12,9,21,0,9155,320,0.4020380973815918,False,0,20180727173222723,0,12,9H QS,michael3,320,none,trash,D,L,0,0,0.30025654761898357,0.3421278131074911,0.3350926258635528,0,none,,"[1, 0, 0, 0]",Deal,22,0,0,160,71,0.2857142857142857,-0.076
4,1,0,0,0,4,0,0,0,4,0,60000,fold,0.75,0,0,1717.2600238094533,1280,480,,,,,,,,,,,,0,9,0,0,0,0,5,3,8,0,9155,320,0.4436190128326416,False,0,20180727173222723,0,5,3S 5C,michael3,320,none,trash,1,E,0,0,0.18757619047618276,0.3052041945227761,0.21724456613258508,0,none,,"[1, 0, 0, 0]",Deal,23,0,0,160,71,0.4,-0.076
4,2,0,2,0,4,0,0,2,2,0,60000,check,0.75,0,320,1857.143294642673,1280,640,,,,,,,,,,,,0,9,0,0,0,0,8,5,13,0,8835,0,0.4628911018371582,False,320,20180727173222723,0,8,5D 8H,michael3,0,all_folded,trash,BB,B,0,0,0.21020297619045536,0.3096199581201017,0.24116937973540659,0,none,,"[0, 1, 0, 0]",Deal,24,0,0,160,71,-0.5,-0.076
4,2,0,1,0,4,0,0,1,3,0,60000,check,0.75,0,160,2137.8664285710947,1280,800,,,,,,,,,,,,0,9,0,0,0,0,9,4,13,1,9315,160,0.44446325302124023,False,160,20180727173222723,0,9,4H 9H,michael3,160,all_folded,trash,SB,B,0,0,0.22950793650790066,0.33071658706677554,0.26146718299093047,0,none,,"[0, 1, 0, 0]",Deal,25,0,0,160,71,0.0,-0.076
4,2,0,1,0,4,1,0,1,3,0,60000,fold,0.75,0,320,2101.1451587298307,1280,1472,,,,,,,,,,,,0,9,0,0,0,0,9,4,13,1,9155,256,0.39805006980895996,False,0,20180727173222723,0,9,4H 9H,michael3,256,all_folded,trash,SB,B,0,0,0.22950793650790066,0.33071658706677554,0.26146718299093047,0,call,,"[1, 0, 0, 0]",Deal,25,0,0,160,71,0.14814814814814814,-0.076
4,2,0,0,0,4,0,0,0,4,0,60000,fold,0.75,0,0,1983.34900892838,2560,1600,,,,,,,,,,,,0,9,1,0,0,0,6,5,11,0,9155,640,0.44400691986083984,False,0,20180727173222723,0,6,6S 5D,michael3,640,none,trash,D,L,0,0,0.21664107142855052,0.3188702782584035,0.24794972481464972,0,none,,"[1, 0, 0, 0]",Deal,26,0,0,320,71,0.2857142857142857,-0.076
4,2,0,0,0,4,1,0,0,4,0,60000,bet,0.75,2560,0,3372.3732192456064,2560,805,,,,,,,,,,,,1,5,0,0,1,0,14,11,25,0,9155,640,0.49994516372680664,False,0,20180727173222723,0,14,AH JS,michael3,640,none,ml_raise,1,E,0,0,0.36836408730154085,0.3555204253869488,0.40502351165538114,0,none,,"[0, 0, 1, 2560]",Deal,27,0,0,320,71,0.4429065743944637,-0.076
