round_id,turn,N,Nnf,roundName,first,hole,board,Nsim,prWin,prWinStd,chips,reld,chips_total,pot,bet,cost_on_table,cost_to_call,cost_total,maxBet_all,N_maxBet_all,util_fold,util_call,N_canraise,util_raise_coeff,util_call2,util_raise_coeff2,limitRoundBet,limitBet,action,amount,cputime
4,1,5,3,flop,True,♣6 ♠10,♥J ♦7 ♠Q,100,0.0,0.0,920,0,2920,20,0,20,20,40,0,5,20,-12.5,2,-1.0,-12.5,-1.0,-0.0,-20.0,fold,0,1.1828360557556152
5,0,5,3,deal,False,♠K ♣4,,20000,0.20336388888889892,0.31469632810633064,910,0,2910,0,10,10,910,920,2970,1,10,202.44252083338836,0,-0.7966361111111011,-348.67361805552775,-0.5932722222222022,220.8507362251954,210.8507362251954,fold,0,0.1416628360748291
6,0,5,4,deal,False,♣6 ♣2,,20000,0.2130801587301676,0.34123237668966205,910,0,2910,0,0,0,40,40,40,2,0,11.139238095240223,3,-0.14767936507932955,-1.6455714285698306,-0.5738396825396648,232.7711571473037,232.7711571473037,call,0,0.14586806297302246
6,1,5,3,flop,False,♣6 ♣2,♠5 ♥5 ♥A,378,0.033201058201058196,0.1451523561268643,870,0,2870,40,0,40,232,272,232,2,40,-209.47592592592594,2,-0.9003968253968254,-224.88121693121693,-0.9335978835978836,32.347603530833425,-7.652396469166575,fold,0,1.2035391330718994
7,0,5,5,deal,False,♠4 ♦7,,20000,0.18632103174604212,0.31173572565410423,870,0,2870,0,0,0,40,40,40,2,0,4.717047619050106,4,-0.06839484126978945,-6.46221428571242,-0.6273579365079158,197.53551476999482,197.53551476999482,call,0,0.1462409496307373
7,1,5,3,flop,False,♠4 ♦7,♦K ♥3 ♠8,311,0.08681672025723473,0.2815662929773587,830,0,2830,40,0,40,40,80,40,1,40,-35.49839228295819,2,-0.7395498392282958,-45.91639871382636,-0.8263665594855305,85.79433140268816,45.79433140268816,fold,0,1.193769931793213
8,0,5,5,deal,False,♦2 ♣7,,20000,0.16062777777778903,0.29162994502790607,830,0,2830,0,0,0,40,40,40,1,0,-1.4493333333306353,4,-0.19686111111105487,-17.512111111109537,-0.678744444444422,165.41394367852152,165.41394367852152,fold,0,0.14974498748779297
9,0,5,5,deal,False,♦2 ♥6,,20000,0.16327103174604285,0.29696826199829124,790,0,2790,0,40,40,0,40,40,5,40,-0.8149523809497126,4,-0.18364484126978575,-0.8149523809497126,-0.6734579365079143,166.0133856228718,126.0133856228718,check,0,0.14358186721801758
9,1,5,5,flop,False,♦2 ♥6,♠A ♠2 ♥10,167,0.15269461077844312,0.34044957442394796,790,0,2790,40,0,40,500,540,500,1,40,-45.269461077844255,4,-0.23652694610778435,-274.31137724550894,-0.6946107784431137,154.3150334432012,114.3150334432012,fold,0,1.195138692855835
10,0,5,5,deal,False,♥7 ♣5,,20000,0.193702777777789,0.31456220933599427,1770,1,2770,0,20,20,20,40,40,4,20,6.48866666666936,4,-0.03148611111105504,6.48866666666936,-0.612594444444422,199.07949675043636,179.07949675043636,fold,0,0.14467787742614746
11,0,5,4,deal,False,♣J ♣2,,20000,0.20093412698413574,0.33140722335512335,1770,1,2770,0,0,0,80,80,80,2,0,16.44838095238515,3,-0.19626349206345706,-7.663714285711137,-0.5981317460317286,207.40970317194615,207.40970317194615,call,0,0.14439010620117188
11,1,5,4,flop,False,♣J ♣2,♥2 ♥K ♠Q,404,0.20297029702970298,0.392870987703495,1690,1,2690,80,0,80,80,160,80,1,80,34.55445544554456,3,-0.18811881188118806,-14.158415841584159,-0.594059405940594,203.71058174602823,123.71058174602823,fold,0,1.2038540840148926
12,0,5,5,deal,False,♦9 ♠J,,20000,0.22975357142858308,0.330537068626984,1690,1,2690,0,0,0,80,80,80,2,0,30.28171428571988,4,0.1487678571429154,2.7112857142899074,-0.5404928571428338,234.40360797148767,234.40360797148767,call,0,0.16149091720581055
12,1,5,4,flop,False,♦9 ♠J,♥K ♣8 ♣5,481,0.08731808731808732,0.2767221274612767,1610,1,2610,80,0,80,500,580,500,1,80,-243.7370062370062,2,-0.738045738045738,-361.61642411642407,-0.8253638253638254,79.60327728716896,-0.39672271283103555,fold,0,1.2117960453033447
13,0,5,5,deal,False,♠3 ♦10,,20000,0.15824682539683677,0.28916073507390305,1610,1,2610,0,0,0,80,80,80,1,0,-4.0415238095183454,4,-0.20876587301581617,-35.690888888885695,-0.6835063492063265,150.08706125219328,150.08706125219328,fold,0,0.14875483512878418
14,0,5,3,deal,False,♠J ♥K,,20000,0.28480595238096046,0.35132826918911486,1530,1,2530,0,80,80,0,80,80,3,80,56.706857142861026,2,-0.14558214285711868,22.530142857145762,-0.4303880952380791,283.0892110807644,203.08921108076441,check,0,0.16706490516662598
14,1,5,3,flop,True,♠J ♥K,♦7 ♦9 ♠K,51,0.5882352941176471,0.49215295678475024,1530,1,2530,80,0,80,80,160,0,5,80,191.1764705882353,2,0.7647058823529411,191.1764705882353,0.17647058823529416,749.3583799760154,669.3583799760154,bet,334,1.2011041641235352
14,2,5,2,flop,False,♠J ♥K,♦7 ♦9 ♠K,270,0.4777777777777778,0.4939135726865082,1196,1,2196,80,334,414,152,566,486,1,414,1014.8666666666668,0,-0.5222222222222221,318.26666666666677,-0.0444444444444444,476.2301075047191,62.230107504719115,fold,0,1.171522855758667
15,0,5,3,deal,False,♦8 ♠4,,20000,0.18580873015874227,0.3053832607757484,2156,2,2156,0,40,40,40,80,80,2,40,9.188190476196297,2,-0.44257380952377323,-20.54120634920247,-0.6283825396825155,147.93955027307612,107.93955027307612,fold,0,0.14662384986877441
16,0,5,4,deal,False,♦8 ♥5,,20000,0.19896626984128152,0.3158406171758042,2156,2,2156,0,0,0,2156,2156,3717,1,0,420.1561438493311,0,-0.8010337301587185,-460.46856646818094,-0.602067460317437,159.6649328276063,159.6649328276063,fold,0,0.14461612701416016
17,0,5,4,deal,False,♣K ♦6,,20000,0.22186547619048574,0.3212431512421743,2156,2,2156,0,0,0,160,160,160,1,0,52.990857142866304,3,-0.11253809523805702,-35.755333333328,-0.5562690476190285,180.53857444804288,180.53857444804288,call,0,0.15600109100341797
17,1,5,4,flop,True,♣K ♦6,♥K ♣6 ♦Q,201,0.7835820895522388,0.40724667610872395,1996,2,1996,160,0,160,160,320,0,5,160,600.8955223880597,3,2.1343283582089554,600.8955223880597,0.5671641791044777,1019.7726248830489,859.7726248830489,bet,429,1.1878881454467773
17,2,5,2,turn,True,♣K ♦6,♥K ♣6 ♦Q ♠10,176,0.6590909090909091,0.4649380123972451,1567,2,1567,589,0,589,160,749,0,5,589,1261.4886363636363,1,0.3181818181818181,1261.4886363636363,0.3181818181818181,562.9042708887317,-26.09572911126827,fold,0,1.1852989196777344
18,0,5,5,deal,False,♥10 ♠5,,20000,0.16504682539683715,0.2914052224526155,1567,2,1567,0,0,0,160,160,160,1,0,-1.5550476190363156,4,-0.17476587301581425,-67.57377777777118,-0.6699063492063257,94.35251908515004,94.35251908515004,fold,0,0.16089701652526855
19,0,5,3,deal,False,♣Q ♦6,,20000,0.20375079365080515,0.31327067847016166,1407,2,1407,0,160,160,1407,1567,4547,1,160,344.18276349215785,0,-0.7962492063491948,-386.26383174597856,-0.5924984126983897,107.01062998071622,-52.98937001928378,fold,0,0.15088629722595215
20,0,5,4,deal,False,♥2 ♥6,,20000,0.2130801587301676,0.34123237668966205,1327,2,1327,0,80,80,80,160,160,3,80,44.556952380960894,3,-0.14767936507932955,10.464126984134083,-0.5738396825396648,106.14684726270515,26.14684726270515,fold,0,0.14527297019958496
21,0,5,5,deal,False,♠5 ♦9,,20000,0.1639742063492191,0.29075446010969386,1327,2,1327,0,0,0,588,588,588,1,0,-9.498999999955004,3,-0.34410317460312356,-167.5701349206022,-0.6720515873015618,79.3329048737007,79.3329048737007,fold,0,0.1618201732635498
23,0,5,4,deal,False,♥3 ♠2,,20000,0.14657182539683608,0.2864418436758191,1327,2,1327,0,160,160,160,320,320,1,160,4.160444444456431,1,-0.7068563492063278,-42.74253968253112,-0.7068563492063278,70.2070073191641,-89.7929926808359,fold,0,0.14585328102111816
24,0,5,5,deal,False,♣7 ♠Q,,20000,0.20838769841271115,0.31385390718433515,1327,2,1327,0,0,0,640,640,640,1,0,146.78844444447293,2,-0.3748369047618665,80.10438095240539,-0.5832246031745777,103.51326809233369,103.51326809233369,fold,0,0.15105509757995605
25,0,5,4,deal,False,♠8 ♦7,,20000,0.219359126984141,0.32366527942904505,687,2,687,0,640,640,0,640,640,2,640,171.3644444444759,1,-0.561281746031718,30.974603174625656,-0.561281746031718,56.79036336775973,-583.2096366322403,check,0,0.14510703086853027
25,1,5,4,flop,True,♠8 ♦7,♥3 ♦J ♦4,179,0.1005586592178771,0.3007434376244642,687,2,687,640,0,640,640,1280,0,5,640,49.16201117318437,1,-0.7988826815642458,49.16201117318437,-0.7988826815642458,24.304324692505066,-615.695675307495,fold,0,1.1911568641662598
26,0,5,4,deal,False,♦7 ♠K,,20000,0.22570158730159892,0.3222966683810056,367,2,367,0,320,320,320,640,640,1,320,185.5715555555816,1,-0.5485968253968021,41.12253968255828,-0.5485968253968021,31.337193396918202,-288.6628066030818,fold,0,0.14630603790283203
27,0,5,5,deal,False,♥2 ♦10,,20000,0.19167777777778874,0.3115770664731925,367,2,367,0,0,0,367,367,1280,1,0,62.71010555556964,2,-0.42496666666663374,62.71010555556964,-0.6166444444444226,26.068946777355603,26.068946777355603,fold,0,0.1557750701904297
