hole,suit,rank,order,prob,Nsim,2,3,4,5,6,7,8,9,10
♠7 ♠2,1.0,0.0,0.0,0.0030165912518853697,60000.0,0.4093481481481227,0.2649379629628842,0.2001664682539502,0.16327328042326483,0.139784920634927,0.12361607142854869,0.11172962962963043,0.1024907407407495,0.0847905555555555
♠7 ♠3,1.0,0.0,0.0,0.0030165912518853697,60000.0,0.42588518518515406,0.2812694444443643,0.21458035714283288,0.1758195767195513,0.15086759259259644,0.13363174603171987,0.12098472222222338,0.11119629629630584,0.09233111111111113
♠7 ♠4,1.0,0.0,0.0,0.0030165912518853697,60000.0,0.4466037037036696,0.3023745370369547,0.23388908730155444,0.19304947089943153,0.1663042328042312,0.14766170634918457,0.13395324074074133,0.1233833333333442,0.10297972222222204
♠7 ♠5,1.0,0.0,0.0,0.0030165912518853697,60000.0,0.461685185185153,0.3187370370369566,0.24946329365075598,0.2075706349205894,0.17993981481480792,0.16063353174601852,0.14643750000000086,0.13548888888890054,0.11362944444444407
♠7 ♠6,1.0,0.0,1.0,0.0030165912518853697,60000.0,0.47908518518515286,0.33762638888881086,0.26616865079360796,0.22167089947084442,0.19184404761903665,0.17087996031745215,0.15549120370370273,0.14370925925927186,0.12137611111111077
♠7 ♥2,0.0,0.0,0.0,0.00904977375565611,60000.0,0.37417407407405384,0.22395231481474143,0.1579138888889037,0.12121891534392219,0.09861044973545477,0.08369880952380154,0.0732685185185185,0.06556481481481947,0.04817222222222226
♠7 ♥3,0.0,0.0,0.0,0.00904977375565611,60000.0,0.3932333333332997,0.24306666666658858,0.17474920634920815,0.13560714285715017,0.11093505291006012,0.09435535714284358,0.08258796296296278,0.07382592592593179,0.056001944444444555
♠7 ♥4,0.0,0.0,0.0,0.00904977375565611,60000.0,0.4152740740740372,0.26590648148139895,0.19575515873014732,0.15453677248676354,0.12808267195768144,0.11008690476188376,0.0972046296296294,0.08753148148148918,0.0677044444444446
♠7 ♥5,0.0,0.0,0.0,0.00904977375565611,60000.0,0.43365925925922366,0.28539768518510156,0.21364027777775724,0.17044470899468547,0.142254761904771,0.12288333333330591,0.10894953703703607,0.09847407407408337,0.07688138888888903
♠7 ♥6,0.0,0.0,1.0,0.00904977375565611,60000.0,0.4494277777777417,0.30363009259251283,0.23085753968251205,0.185791931216896,0.1558227513227553,0.1350438492063163,0.12009166666666479,0.10892407407408425,0.08702694444444443
♠7 ♥7,0.0,1.0,0.0,0.004524886877828055,60000.0,0.66777037037045,0.47028981481474946,0.3490551587300954,0.27266097883586193,0.22334351851847078,0.19067936507936056,0.16839861111110027,0.15266851851853439,0.13650944444444435
♠8 ♠2,1.0,0.0,0.0,0.0030165912518853697,60000.0,0.42783333333331086,0.27683657407398865,0.2092910714285478,0.17081494708992415,0.14611335978836415,0.12896607142854644,0.1163111111111116,0.10649074074075024,0.08808777777777771
♠8 ♠3,1.0,0.0,0.0,0.0030165912518853697,60000.0,0.4356407407407116,0.2830865740739917,0.21427063492060927,0.17480753968251547,0.14948187830688273,0.13201924603172005,0.11926203703703732,0.10946296296297217,0.08968527777777767
♠8 ♠4,1.0,0.0,0.0,0.0030165912518853697,60000.0,0.4522481481481165,0.30084027777769473,0.23065694444441062,0.1893956349205989,0.16243121693121598,0.14361884920632603,0.12980138888888929,0.11919444444445508,0.09783027777777764
♠8 ♠5,1.0,0.0,0.0,0.0030165912518853697,60000.0,0.4686555555555221,0.31797777777769315,0.24666369047615175,0.20396309523805023,0.17570634920634406,0.15586726190474448,0.14124675925925903,0.1299870370370485,0.10766194444444425
♠8 ♠6,1.0,0.0,0.0,0.0030165912518853697,60000.0,0.48852037037033946,0.34073888888880144,0.26779484126979336,0.2227644179893593,0.1923849206349099,0.17080575396824565,0.154802777777777,0.14244259259260583,0.1188249999999997
♠8 ♠7,1.0,0.0,1.0,0.0030165912518853697,60000.0,0.5036370370370109,0.35787592592583894,0.283818452380905,0.23692592592585987,0.20474537037035676,0.1816845238095218,0.16457916666666533,0.15147777777779195,0.12815694444444414
♠8 ♥2,0.0,0.0,0.0,0.00904977375565611,60000.0,0.39722222222220005,0.23871018518510673,0.1683589285714324,0.12880780423281013,0.10395529100529803,0.0872230158730052,0.07534166666666631,0.06651111111111659,0.04921333333333337
♠8 ♥3,0.0,0.0,0.0,0.00904977375565611,60000.0,0.4006222222221894,0.2423837962962147,0.17218591269841496,0.13243214285715,0.10733544973545646,0.0904154761904643,0.07839537037037002,0.06945555555556132,0.05021666666666674
♠8 ♥4,0.0,0.0,0.0,0.00904977375565611,60000.0,0.4206333333333063,0.26293796296287825,0.19059880952379965,0.14850198412697882,0.12135132275133302,0.10277718253966332,0.08947037037036973,0.07953518518519263,0.05884305555555569
♠8 ♥5,0.0,0.0,0.0,0.00904977375565611,60000.0,0.43974629629626255,0.2838185185184342,0.21020297619045536,0.16637619047616942,0.13774603174604397,0.1180251984126719,0.10384907407407294,0.09325000000000917,0.07143250000000013
♠8 ♥6,0.0,0.0,0.0,0.00904977375565611,60000.0,0.458024074074037,0.3041893518517627,0.22934583333330408,0.18349338624335074,0.15288452380952763,0.131514484126952,0.11605277777777583,0.10448888888889903,0.0823825000000001
