,deal,deal,deal,deal,deal,deal,deal,deal,deal,flop,flop,flop,flop,flop,flop,flop,flop,flop,turn,turn,turn,turn,turn,turn,turn,turn,turn,river,river,river,river,river,river,river,river,river
,rounds,prBet,amtBet,prCall,amtCall,oddsCall,prFold,amtFold,lossFold,rounds,prBet,amtBet,prCall,amtCall,oddsCall,prFold,amtFold,lossFold,rounds,prBet,amtBet,prCall,amtCall,oddsCall,prFold,amtFold,lossFold,rounds,prBet,amtBet,prCall,amtCall,oddsCall,prFold,amtFold,lossFold
TeamMustJoin,121,3.8315081321652146e-05,20.0,0.9999078746623067,54.926229590032726,0.16955915175311095,5.2649193301319975e-05,95.0,11.0,59.0,0.24652250969427955,24.552774378509806,0.753234740860689,260.76235836533533,0.09758115122411666,0.0,0.0,0.0,54.0,0.3542347916138448,23.27944068256,0.2731445068196175,193.44414811888217,0.0548228696984398,0.3704021703320758,227.69974077646944,236.36918494179596,26.0,0.4742166540206316,21.240747976,0.48763130353167394,267.53435759631907,0.07651252378675284,0.0,0.0,0.0
PCB,78,0.08164465011136657,26.0,0.6549579748602138,129.26715315506885,0.16022418181894912,0.26275126683949707,34.24759,8.230410000000001,,0.6159499722420579,136.79552280959274,0.3122602289887568,152.56818,0.039841169301969945,0.0,0.0,0.0,,0.5879800697938694,216.85179135552204,0.24524811320946494,55.714,0.028017613027640886,0.0,0.0,0.0,,0.6514900265503901,74.24825110458,0.14261884135496106,111.42,0.01774494523972627,0.0,0.0,0.0
V.S.A.,78,0.02545458563708288,147.72900000000004,0.49239302720167155,229.08004161697633,0.12528375343718492,0.482152172013915,409.61370102857063,46.734166617084234,29.0,0.08274816065281741,383.5573860000001,0.5454270929479855,309.3732991807834,0.060163670954856696,0.35704386345776284,409.9105199371106,269.62035331506524,7.0,0.3150817389,138.46703000000002,0.33623982100000005,110.82303,0.022349174015971668,0.0,0.0,0.0,5.0,0.29704410000000003,62.907799999999995,0.12465900000000002,131.48000000000002,0.010078426724994826,0.1,765.9000000000001,176.0
Out Bluffed,78,0.00669093466484694,20.0,0.4288213539541172,75.49193296032392,0.14007784378255023,0.5642849557851316,136.37320796334882,51.93255706597933,,0.20047784401000002,37.22,0.4857115599000001,27.741835800000004,0.05688107107129114,0.0,0.0,0.0,,0.13782969000000003,5.8,0.4317031,20.249180000000003,0.03218232511312988,0.0,0.0,0.0,,0.09000000000000001,4.0,0.17290000000000003,162.0,0.035589101620029456,0.205659,5.8,35.5
ミ^・.・^彡,78,0.059615683476796175,39.400000000000006,0.331665766066081,54.754556565090006,0.08186123712708253,0.608337030032646,145.5085465579312,2.365075050166658,,0.13414410000000004,11.6,0.31136733293139013,126.04918,0.06198798367174212,0.3257206425190001,7.3369800000000005,33.63118,,0.0,0.0,0.0,0.0,0.0,0.271,5.22,28.87,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fatz,78,2.5138524855135975e-05,20.0,0.7489827290582723,128.33699443037014,0.16429885010065043,0.2509913706433922,76.27814026684047,17.518528576991137,35.0,0.18910477233187956,92.73600000000002,0.4157490379107426,40.16065449977338,0.03404866185523633,0.3768981861259775,242.701356961603,117.22752308792803,12.0,0.2187541,65.64,0.14904900000000004,19.6,0.008917748917748918,0.20172969000000004,3.24,35.76,7.0,0.0,0.0,0.0,0.0,0.0,0.34390000000000004,30.4,248.536
Hodor,78,0.20297629054541189,133.52293901511703,0.714393881276015,159.20214263574226,0.19659377265967184,0.0826293283789928,148.8244591517299,76.046122358613,48.0,0.23741444616340537,51.277476472,0.4280487787605346,71.30399543138674,0.07280204919640618,0.3327397647761459,485.439717781845,118.60901361499056,26.0,0.3084630248672067,103.35988096000001,0.4871569528081804,207.46174290002705,0.08434259212209956,0.170043184121688,84.175,112.946,18.0,0.49702666151981345,51.50136757570001,0.3729652361392094,83.52389914000003,0.030885855814465034,0.020589113209464913,84.0,16.0
iCRC必勝,46,0.07809962506739543,183.53,0.7467921517926913,369.3723152709483,0.1631437098572543,0.17509643295533586,170.1497908879301,34.18438220094049,24.0,0.1,128.0,0.5031884601913112,427.73727914134207,0.07254894506854907,0.33220072091642233,177.19668631738,250.53433524056,6.0,0.0,0.0,0.46855900000000006,82.36918,0.029508072970811677,0.0,0.0,0.0,5.0,0.0,0.0,0.25561,65.62,0.013857142857142858,0.1539,5.8,23.4
TMBS=trend micro's best supreme,46,0.09491784469325901,80.078,0.2559564881494221,152.34176224322675,0.1737489649003589,0.6491179316172175,432.961953637961,17.660562991065,33.0,0.025418658283290013,30.0,0.7567685027723406,352.69962291907535,0.11661324882325394,0.19,0.0,136.0,24.0,0.03138105960900001,30.0,0.7749610972113454,80.8786341649881,0.050955769560216545,0.14655655620719216,340.446,123.20800000000001,19.0,0.0,0.0,0.842473909781639,53.94937946488278,0.03861071307712169,0.06889670902183613,271.1,86.4
Winner Winner,46,0.008677073046130392,61.800000000000004,0.44973197937332043,148.57922513741522,0.11581598428002544,0.5415605150533276,360.6795857978416,70.24607399842746,15.0,0.1,32.0,0.08178876990000002,11.6,0.009876847290640395,0.5640246472671001,139.98149233200002,128.29497659600003,3.0,0.08100000000000002,16.0,0.09000000000000001,16.0,0.004651162790697674,0.17290000000000003,3.6,71.2,1.0,0.0,0.0,0.1,3.0,0.0005665722379603399,0.0,0.0,0.0
