score,wt,prob,2,3,4,5,6,7,8,9,10
"(0, 11, 10, 8, 7, 6)",34496.0,0.0006177650429799427,0.06603019995877143,0.003742784992784993,0.00018635701033660213,5.521689195158582e-06,0.0,0.0,0.0,0.0,0.0
"(0, 11, 10, 9, 5, 4)",6912.0,0.00012378223495702006,0.053176440329218096,0.0033757716049382697,0.00015156525573192236,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11, 10, 9, 6, 4)",6836.0,0.00012242120343839541,0.057473506273974385,0.003965931994018595,0.00037615982613056916,4.1795536236729915e-05,0.0,0.0,0.0,0.0,0.0
"(0, 11, 10, 9, 6, 5)",20040.0,0.00035888252148997136,0.06127744510978045,0.003648259037480595,0.0002162341982701264,9.5047999239616e-06,0.0,0.0,0.0,0.0,0.0
"(0, 11, 10, 9, 7, 4)",6356.0,0.00011382521489971346,0.07055450667785472,0.00550660792951542,0.0003296472774131679,1.4983967155143995e-05,0.0,0.0,0.0,0.0,0.0
"(0, 11, 10, 9, 7, 5)",20936.0,0.00037492836676217766,0.07771833736678982,0.005275336475183629,0.00040031297195989587,3.487575134499093e-05,1.5163370149996056e-06,0.0,0.0,0.0,0.0
"(0, 11, 10, 9, 7, 6)",41400.0,0.0007414040114613181,0.0798282340311326,0.005434782608695655,0.0003588681849551414,2.4537995552488306e-05,0.0,0.0,0.0,0.0,0.0
"(0, 11, 10, 9, 8, 4)",7332.0,0.00013130372492836675,0.08934957871128082,0.006895193065405832,0.0004156599901280751,4.329791563834117e-06,0.0,0.0,0.0,0.0,0.0
"(0, 11, 10, 9, 8, 5)",20764.0,0.0003718481375358166,0.08959952053768276,0.007095614204071151,0.0005228830118061478,2.4462363125433823e-05,0.0,0.0,0.0,0.0,0.0
"(0, 11, 10, 9, 8, 6)",40376.0,0.0007230659025787966,0.09355392642493887,0.007487946634964664,0.0005035994980516474,2.5160318403829398e-05,2.358779850359006e-06,0.0,0.0,0.0,0.0
"(0, 12, 8, 7, 5, 4)",6140.0,0.0001099570200573066,0.0314151284835324,0.0024068041983351424,0.00013959981386691482,5.170363476552402e-06,0.0,0.0,0.0,0.0,0.0
"(0, 12, 8, 7, 6, 4)",6084.0,0.0001089541547277937,0.039886039886039906,0.002209803491854774,9.392317084624777e-05,5.2179539359026535e-06,0.0,0.0,0.0,0.0,0.0
"(0, 12, 8, 7, 6, 5)",6032.0,0.00010802292263610316,0.03625110521662247,0.0020814913056292363,0.0001026272577996716,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 12, 9, 7, 5, 4)",5896.0,0.00010558739255014326,0.03972561435248003,0.0029398462234283126,0.0001373005104348388,0.0,0.0,0.0,0.0,0.0,0.0
